AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_AREA_BASICA;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_PROGRAMA;AN_INICIO_CURSO;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2018;ENGENHARIAS;ENGENHARIA QUÍMICA;ENGENHARIA QUÍMICA;NÃO SE APLICA;NÃO SE APLICA;12;ENGENHARIAS II;24009016;2564;UFCG;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;NORDESTE;PB;CAMPINA GRANDE;ACADÊMICO;24009016004P4;ENGENHARIA QUÍMICA;GRADUATE PROGRAM IN CHEMICAL ENGINEERING;MESTRADO/DOUTORADO;3;1979;1979/2007;EM FUNCIONAMENTO;05MAR2013:00:00:00;140425;75828
2018;CIÊNCIAS BIOLÓGICAS;ZOOLOGIA;ZOOLOGIA;NÃO SE APLICA;NÃO SE APLICA;7;BIODIVERSIDADE;31021018;693;UNIRIO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;ACADÊMICO;31021018014P2;CIÊNCIAS BIOLÓGICAS (BIODIVERSIDADE NEOTROPICAL);BIOLOGICAL SCIENCES;MESTRADO;4;2011;2011;EM FUNCIONAMENTO;03JAN2013:00:00:00;139592;75196
2018;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;53001010;2;UNB;UNIVERSIDADE DE BRASÍLIA;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;PROFISSIONAL;53001010087P1;EDUCAÇÃO;POSTGRADUATE PROGRAM IN EDUCATION;MESTRADO PROFISSIONAL;3;2011;2011;EM FUNCIONAMENTO;12DEC2013:00:00:00;137911;73796
2018;ENGENHARIAS;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;NÃO SE APLICA;NÃO SE APLICA;14;ENGENHARIAS IV;42002010;582;UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;RS;SANTA MARIA;ACADÊMICO;42002010003P8;ENGENHARIA ELÉTRICA;GRADUATE PROGRAM IN ELECTRICAL ENGINEERING;MESTRADO/DOUTORADO;6;1974;1974/1999;EM FUNCIONAMENTO;11JUL2013:00:00:00;139275;75084
2018;CIÊNCIAS BIOLÓGICAS;BIOLOGIA GERAL;BIOLOGIA GERAL;NÃO SE APLICA;NÃO SE APLICA;6;CIÊNCIAS BIOLÓGICAS I;32001010;575;UFMG;UNIVERSIDADE FEDERAL DE MINAS GERAIS;SIM;"UNICAMP;UNEMAT;UNB;UFSC;UFRJ;UFPR;UFPE;UFPB-JP;UFPA;UFMT;UFJF-GV;UFJF;UFES;UFAL;UESPI;UERN;UERJ;UECE";FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;MG;BELO HORIZONTE;PROFISSIONAL;32001010175P5;PROFBIO ENSINO DE BIOLOGIA EM REDE NACIONAL;MASTER IN BIOLOGY TEACHING;MESTRADO PROFISSIONAL;4;2017;2017;EM FUNCIONAMENTO;01AUG2017:00:00:00;139425;75096
2018;CIÊNCIAS EXATAS E DA TERRA;QUÍMICA;QUÍMICA ORGÂNICA;QUÍMICA ORGÂNICA;NÃO SE APLICA;4;QUÍMICA;26001012;577;UFAL;UNIVERSIDADE FEDERAL DE ALAGOAS;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;NORDESTE;AL;MACEIÓ;ACADÊMICO;26001012003P2;QUÍMICA E BIOTECNOLOGIA;CHEMISTRY AND BIOTECHNOLOGY POSTGRADUATION PROGRAM;MESTRADO/DOUTORADO;4;1992;1992/2000;EM FUNCIONAMENTO;16JAN2014:00:00:00;138391;74252
2018;LINGÜÍSTICA, LETRAS E ARTES;LINGÜÍSTICA;LINGÜÍSTICA;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;33002010;55;USP;UNIVERSIDADE DE SÃO PAULO;NÃO;NA;ESTADUAL;PÚBLICO;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;ACADÊMICO;33002010103P3;LINGÜÍSTICA;LINGUISTIC;MESTRADO/DOUTORADO;6;1971;1971/1971;EM FUNCIONAMENTO;19SEP2012:00:00:00;138850;74601
2018;CIÊNCIAS SOCIAIS APLICADAS;PLANEJAMENTO URBANO E REGIONAL;PLANEJAMENTO URBANO E REGIONAL;NÃO SE APLICA;NÃO SE APLICA;30;PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA;31003010;572;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;RJ;CAMPOS DOS GOYTACAZES;ACADÊMICO;31003010170P7;DESENVOLVIMENTO REGIONAL, AMBIENTE E POLÍTICAS PÚBLICAS;REGIONAL DEVELOPMENT, ENVIRONMENT AND PUBLIC POLICIES;MESTRADO;3;2016;2016;EM FUNCIONAMENTO;09AUG2016:00:00:00;139364;75093
2018;CIÊNCIAS HUMANAS;SOCIOLOGIA;SOCIOLOGIA;NÃO SE APLICA;NÃO SE APLICA;34;SOCIOLOGIA;42007011;14;UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;NÃO;NA;PARTICULAR;PRIVADO;UNIVERSIDADE;SUL;RS;SÃO LEOPOLDO;ACADÊMICO;42007011011P9;CIÊNCIAS SOCIAIS;GRADUATE DEGREE PROGRAM IN SOCIAL SCIENCES;MESTRADO/DOUTORADO;4;1999;1999/2006;EM FUNCIONAMENTO;09JUL2013:00:00:00;138285;74146
2018;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO;NÃO SE APLICA;NÃO SE APLICA;2;CIÊNCIA DA COMPUTAÇÃO;22003010;29;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;NÃO;NA;ESTADUAL;PÚBLICO;UNIVERSIDADE;NORDESTE;CE;FORTALEZA;ACADÊMICO;22003010018P1;CIÊNCIA DA COMPUTAÇÃO;MASTER PROGRAM IN COMPUTER SCIENCE;MESTRADO;4;2007;2007;EM FUNCIONAMENTO;07AUG2010:00:00:00;137826;73693
2018;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;TEORIA LITERARIA;TEORIA LITERARIA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;33002010;55;USP;UNIVERSIDADE DE SÃO PAULO;NÃO;NA;ESTADUAL;PÚBLICO;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;ACADÊMICO;33002010112P2;LETRAS (TEORIA LITERÁRIA E LITERATURA COMPARADA);LETTERS - LITERARY THEORY AND COMPARATIVE LITERATURE;MESTRADO/DOUTORADO;5;1971;1971/1971;EM FUNCIONAMENTO;18SEP2013:00:00:00;138773;74571
2018;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;ADMINISTRAÇÃO;NÃO SE APLICA;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;33002010;55;USP;UNIVERSIDADE DE SÃO PAULO;NÃO;NA;ESTADUAL;PÚBLICO;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;PROFISSIONAL;33002010240P0;EMPREENDEDORISMO;PROFISSIONAL MASTER IN ENTREPRENEURSHIP;MESTRADO PROFISSIONAL;4;2014;2014;EM FUNCIONAMENTO;24SEP2013:00:00:00;139047;74792
2018;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO;NÃO SE APLICA;NÃO SE APLICA;2;CIÊNCIA DA COMPUTAÇÃO;40002012;9;UEL;UNIVERSIDADE ESTADUAL DE LONDRINA;NÃO;NA;ESTADUAL;PÚBLICO;UNIVERSIDADE;SUL;PR;LONDRINA;ACADÊMICO;40002012033P5;CIÊNCIA DA COMPUTAÇÃO;MASTER IN COMPUTER SCIENCE;MESTRADO;3;2008;2008;EM FUNCIONAMENTO;23JAN2013:00:00:00;139200;74922
2018;ENGENHARIAS;ENGENHARIA DE PRODUÇÃO;ENGENHARIA DE PRODUÇÃO;NÃO SE APLICA;NÃO SE APLICA;13;ENGENHARIAS III;33002045;NI;USP/SC;UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS );NÃO;NA;ESTADUAL;PÚBLICO;NÃO INFORMADO;SUDESTE;SP;SÃO CARLOS;ACADÊMICO;33002045018P2;ENGENHARIA DE PRODUÇÃO;PRODUCTION ENGINEERING GRADUATE PROGRAM;MESTRADO/DOUTORADO;5;1996;1996/2002;EM FUNCIONAMENTO;12AUG2013:00:00:00;138940;74717
2018;CIÊNCIAS SOCIAIS APLICADAS;PLANEJAMENTO URBANO E REGIONAL;PLANEJAMENTO URBANO E REGIONAL;NÃO SE APLICA;NÃO SE APLICA;30;PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA;40006018;588;UTFPR;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PR;CURITIBA;PROFISSIONAL;40006018017P5;PLANEJAMENTO E GOVERNANÇA PÚBLICA;PLANNING AND PUBLIC GOVERNANCE;MESTRADO PROFISSIONAL;4;2011;2011;EM FUNCIONAMENTO;12APR2013:00:00:00;137827;73694
2018;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;52001016;584;UFG;UNIVERSIDADE FEDERAL DE GOIÁS;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;CENTRO-OESTE;GO;GOIÂNIA;ACADÊMICO;52001016049P6;ESTUDOS DA LINGUAGEM;STUDIES OF LANGUAGE;MESTRADO;4;2011;2011;EM FUNCIONAMENTO;04FEB2014:00:00:00;137734;73621
2018;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;33002010;55;USP;UNIVERSIDADE DE SÃO PAULO;NÃO;NA;ESTADUAL;PÚBLICO;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;ACADÊMICO;33002010227P4;HUMANIDADES, DIREITOS E OUTRAS LEGITIMIDADES;HUMANITIES, RIGHTS AND OTHER LEGITIMACY;MESTRADO/DOUTORADO;4;2012;2012/2012;EM FUNCIONAMENTO;30JAN2014:00:00:00;138738;74512
2018;ENGENHARIAS;ENGENHARIA SANITÁRIA;ENGENHARIA SANITÁRIA;NÃO SE APLICA;NÃO SE APLICA;10;ENGENHARIAS I;32011016;595;UNIFAL;UNIVERSIDADE FEDERAL DE ALFENAS;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;MG;ALFENAS;ACADÊMICO;32011016011P4;CIÊNCIA E ENGENHARIA AMBIENTAL;SCIENCE AND ENVIRONMENTAL ENGINEERING;MESTRADO;3;2012;2012;EM FUNCIONAMENTO;03FEB2014:00:00:00;137523;73451
2018;MULTIDISCIPLINAR;ENSINO;ENSINO;NÃO SE APLICA;NÃO SE APLICA;46;ENSINO;40006018;588;UTFPR;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;PR;PONTA GROSSA;ACADÊMICO;40006018028P7;ENSINO DE CIÊNCIA E TECNOLOGIA;TECNOLOGICAL AND SCIENCE TEACHING;DOUTORADO;4;2013;2013;EM FUNCIONAMENTO;18DEC2013:00:00:00;138213;74054
2018;MULTIDISCIPLINAR;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;NÃO SE APLICA;NÃO SE APLICA;49;CIÊNCIAS AMBIENTAIS;41001010;585;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;SC;FLORIANÓPOLIS;PROFISSIONAL;41001010157P6;DESASTRES NATURAIS;NATURAL DISASTERS;MESTRADO PROFISSIONAL;3;2016;2016;EM FUNCIONAMENTO;22SEP2016:00:00:00;141515;76757
2018;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;41020014;15121;UFFS;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;RS;ERECHIM;PROFISSIONAL;41020014006P1;EDUCAÇÃO;MASTERS PROFESSIONAL EDUCATION;MESTRADO PROFISSIONAL;3;2015;2015;EM FUNCIONAMENTO;03MAR2016:00:00:00;140229;75685
2018;CIÊNCIAS AGRÁRIAS;MEDICINA VETERINÁRIA;MEDICINA VETERINÁRIA;NÃO SE APLICA;NÃO SE APLICA;24;MEDICINA VETERINÁRIA;24009016;2564;UFCG;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;NORDESTE;PB;PATOS;ACADÊMICO;24009016011P0;CIÊNCIA E SAÚDE ANIMAL;ANIMAL SCIENCE AND HEALTH;MESTRADO/DOUTORADO;4;2003;2003/2009;EM FUNCIONAMENTO;20FEB2013:00:00:00;140952;76285
2018;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;NÃO SE APLICA;NÃO SE APLICA;38;EDUCAÇÃO;51001012;694;UFMS;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;CENTRO-OESTE;MS;CAMPO GRANDE;ACADÊMICO;51001012001P0;EDUCAÇÃO;GRADUATE PROGRAM IN EDUCATION,;MESTRADO/DOUTORADO;5;1988;1988/2005;EM FUNCIONAMENTO;20DEC2013:00:00:00;139985;75564
2018;CIÊNCIAS DA SAÚDE;FARMÁCIA;FARMÁCIA;NÃO SE APLICA;NÃO SE APLICA;19;FARMÁCIA;21001014;5;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;NORDESTE;PI;TERESINA;ACADÊMICO;21001014022P3;CIENCIAS FARMACEUTICAS;PHARMACEUTICAL SCIENCES;MESTRADO;4;2010;2010;EM FUNCIONAMENTO;04FEB2014:00:00:00;141398;76650
2018;CIÊNCIAS HUMANAS;ARQUEOLOGIA;ARQUEOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25001019059P5;ARQUEOLOGIA;ARCHAEOLOGY;MESTRADO/DOUTORADO;5;2003;2003/2003;EM FUNCIONAMENTO;20SEP2012:00:00:00;140232;75688
2018;CIÊNCIAS AGRÁRIAS;AGRONOMIA;MELHORAMENTO VEGETAL;FITOTECNIA;MELHORAMENTO VEGETAL;42;CIÊNCIAS AGRÁRIAS I;25003011;587;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25003011015P0;AGRONOMIA ( MELHORAMENTO GENÉTICO DE PLANTAS);AGRONOMY (PLANT BREEDING);MESTRADO/DOUTORADO;4;2003;2003/2013;EM FUNCIONAMENTO;17MAR2014:00:00:00;141044;76297
2018;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;ADMINISTRAÇÃO;NÃO SE APLICA;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;25001019;580;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;NORDESTE;PE;RECIFE;PROFISSIONAL;25001019078P0;ADMINISTRAÇÃO;THE UFPE MASTERS OF BUSINESS ADMINISTRATION;MESTRADO PROFISSIONAL;3;2010;2010;EM FUNCIONAMENTO;11JAN2011:00:00:00;141041;76294
2018;CIÊNCIAS DA SAÚDE;NUTRIÇÃO;NUTRIÇÃO;NÃO SE APLICA;NÃO SE APLICA;50;NUTRIÇÃO;27001016;NI;FUFSE;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;NÃO;NA;FEDERAL;PÚBLICO;NÃO INFORMADO;NORDESTE;SE;SÃO CRISTÓVÃO;ACADÊMICO;27001016172P1;CIÊNCIAS DA NUTRIÇÃO;NUTRITION SCIENCES;MESTRADO;3;2016;2016;EM FUNCIONAMENTO;18JUL2016:00:00:00;137998;73812
2018;CIÊNCIAS DA SAÚDE;ENFERMAGEM;ENFERMAGEM;NÃO SE APLICA;NÃO SE APLICA;20;ENFERMAGEM;51001012;694;UFMS;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;CENTRO-OESTE;MS;CAMPO GRANDE;ACADÊMICO;51001012036P9;ENFERMAGEM;NURSING;MESTRADO;3;2012;2012;EM FUNCIONAMENTO;08MAR2013:00:00:00;139686;75268
2018;CIÊNCIAS DA SAÚDE;ENFERMAGEM;ENFERMAGEM;NÃO SE APLICA;NÃO SE APLICA;20;ENFERMAGEM;52001016;584;UFG;UNIVERSIDADE FEDERAL DE GOIÁS;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;CENTRO-OESTE;GO;GOIÂNIA;ACADÊMICO;52001016023P7;ENFERMAGEM;NURSING GRADUATE PROGRAM OF THE NURSING COLLEGE OF GOIAS FEDERAL UNIVERSITY;MESTRADO/DOUTORADO;5;2003;2003/2010;EM FUNCIONAMENTO;16APR2012:00:00:00;140442;75810
